Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,822,PVG,CGO,2245,55,1234567,2:10,832,0,738,DL 6716
FM,827,PVG,ICN,1435,1725,1234567,1:50,822,0,73H,"MU 9827,KE 5894"
FM,828,ICN,PVG,1825,2005,1  4   ,2:40,822,0,738,"MU 9828,KE 5893"
FM,9063,SHA,TSN,1350,1605,123 567,2:15,953,0,738,MU 9063
FM,9073,SHA,YNT,650,840,1234567,1:50,719,0,738,MU 9073
FM,9116,TSN,SHA,1330,1530,12 4567,2:00,953,0,73H,MU 9116
FM,9128,HLD,HET,1600,1815,12,2:15,1118,0,73H,MU 9128
FM,9132,TSN,PVG,1230,1430,1234567,2:00,975,0,737,"MU 9132,DL 6721"
FM,9145,YCU,INC,1550,1725,1234567,1:35,584,0,738,MU 9145
FM,9160,CGQ,PVG,800,1055,123 5  ,2:55,1468,0,73H,"MU 9160,DL 6361"
FM,9163,SHA,TYN,705,925,1234567,2:20,1078,0,737,MU 9163
FM,9183,HSN,YNT,1140,1325,1234567,1:45,866,0,738,MU 9183
FM,9222,URC,LHW,1110,1340,1234567,2:30,1593,0,738,MU 9222
FM,9231,SHA,TAO,650,830,1,1:40,570,0,738,MU 9231
FM,9255,HDG,DSN,1145,1245,1 3 5 7,1:00,518,0,738,MU 9255
FM,9256,DSN,HDG,1330,1450,1 3 5 7,1:20,518,0,738,MU 9256
FM,9269,JGS,HAK,1205,1350,1234567,1:45,884,0,738,MU 9269
FM,9298,SWA,SHA,1700,1855,1 3 5  ,1:55,974,0,737,MU 9298
FM,9308,CAN,SHA,950,1210,1234567,2:20,1175,0,737,MU 9308
FM,9310,CAN,SHA,1230,1455,234,2:25,1175,0,333,MU 9310
FM,9315,SHA,CAN,1530,1755,1234567,2:25,1175,0,737,MU 9315
FM,9323,PVG,CGO,1700,1900,3,2:00,832,0,738,MU 9323
FM,9334,SZX,SHA,1730,2000,1234567,2:30,1207,0,73H,MU 9334
FM,9371,SHA,YNZ,1305,1410,1234567,1:05,269,0,738,MU 9371
FM,9378,ZHA,PVG,2230,110,123  6 ,2:40,1585,0,737,MU 9378
FM,9382,KWL,PVG,715,930,1 34567,2:15,1324,0,73H,"MU 9382,DL 6728"
FM,9400,WUZ,CSX,1535,1700,1234567,1:25,571,0,738,MU 9400
FM,9412,MIG,PVG,1205,1440,1 3456 ,2:35,1619,0,73H,MU 9412
FM,9437,PVG,BAV,640,945,12345,3:05,1489,0,738,MU 9437
FM,9506,YNT,CGQ,1905,2055,1 3 5 7,1:50,806,0,73H,MU 9506
FM,9518,WNZ,PVG,1950,2055,  34 6 ,1:05,370,0,738,MU 9518
FM,9525,PVG,WNZ,1750,1915,1234567,1:25,370,0,738,MU 9525
FM,9531,PVG,HAK,1645,1950,234,3:05,1683,0,73H,MU 9531
FM,9547,PVG,TGO,1305,1605,4,3:00,1379,0,733,MU 9547
FM,801,PVG,TSA,925,1105,    5 7,1:40,674,0,737,
FM,807,CAN,NGO,835,1250,1234567,3:15,2604,0,738,MU  807
FM,823,SHA,GMP,1605,1850, 2 4   ,1:45,866,0,737,"MU 9823,KE 5900"
FM,842,BKK,PVG,950,1545,12,4:55,2895,0,73H,"MU 9842,DL 6362"
FM,845,SHA,HKG,1515,1740,1234567,2:25,1231,0,333,"MU 9845,HX 1813"
FM,849,ZHA,HKG,1525,1650,5,1:25,386,0,737,MU 9849
FM,856,BKK,PVG,1910,55,1234567,4:45,2895,0,738,MU 9856
FM,883,WNZ,BKK,1030,1335, 2 4 6 ,4:05,2612,0,738,
FM,9135,PVG,BAV,1420,1725,4,3:05,1489,0,73H,MU 9135
FM,9161,SHA,WDS,1525,1725, 2 4 6 ,2:00,996,0,738,MU 9161
FM,9175,CGQ,WNZ,715,1020,1234567,3:05,1838,0,73H,MU 9175
FM,9230,TAO,SHA,1600,1740,  3 5 7,1:40,570,0,73G,MU 9230
FM,9232,DDG,TAO,1330,1500,2,1:30,539,0,73G,MU 9232
